CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
230001504,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,200 BLOCK N ASHLEY ST,ANN ARBOR,2023-01-12 07:45:00,ASSAULT - SIMPLE,-83.74955549999999,42.28246910100006
230001517,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2900 BLOCK ST AUBIN AVE,ANN ARBOR,2023-01-12 01:30:00,DAMAGE TO PROPERTY,-83.70183329999998,42.244532700000036
230001583,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,1100 BLOCK W STADIUM BLVD,ANN ARBOR,2023-01-12 19:06:00,FRAUD,-83.76060669999998,42.26407690000008
230001585,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,2200 BLOCK DEXTER AVE,ANN ARBOR,2023-01-12 19:48:00,LARCENY - ALL OTHER,-83.77696369899996,42.28479499900004
230001456,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-11 21:57:00,ASSAULT - SIMPLE,-83.75166069999995,42.28180800000007
230001425,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1500 BLOCK PAULINE BLVD,ANN ARBOR,2023-01-11 17:37:00,ASSAULT - SIMPLE,-83.76585019999999,42.26840160000006
230001520,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,3400 BLOCK BRENTWOOD CT,ANN ARBOR,2023-01-11 18:00:00,FRAUD,-83.72654590099995,42.23913310100005
230001543,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,400 BLOCK S MAIN ST,ANN ARBOR,2023-01-12 14:17:00,FRAUD,-83.74902609999998,42.277732900000046
230001577,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,1800 BLOCK WASHTENAW AVE,ANN ARBOR,2023-01-11 22:46:00,MOTOR VEHICLE THEFT / FRAUD,-83.72428419899995,42.27068000000003
230001547,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK S STATE ST,ANN ARBOR,2023-01-12 14:40:00,LARCENY - RETAIL FRAUD,-83.74043689999996,42.27879860100006
230001611,FAMILY OFFENSE NONVIOLENT,3806,NEGLECT CHILD,B,0 BLOCK KILBRENNAN CT,ANN ARBOR,2023-01-12 23:01:00,FAMILY OFFENSE,-83.71121659999994,42.23483790000006
230001611,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,0 BLOCK KILBRENNAN CT,ANN ARBOR,2023-01-12 23:01:00,OBSTRUCTING JUSTICE,-83.71121659999994,42.23483790000006
230001541,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1000 BLOCK BROADWAY ST,ANN ARBOR,2023-01-12 13:07:30,LARCENY - FROM AUTO (LFA),-83.73928419899994,42.28944330000007
